,2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,
Income Statement [Abstract],,,, , , ,,,,,,,
Revenue,"$ 215,938","$ 130,497","$ 60,922",26974,26914,16675,,11716,9714,6910,5010,4682,
Cost of revenue,62475,32639,16621,11618,9439,6279,,4545,3892,2847,2199,2083,
Gross profit,153463,97858,44301,15356,17475,10396,,7171,5822,4063,2811,2599,
Operating expenses,,,, , , ,,,,,,,
Research and development,18497,12914,8675,7339,5268,3924,,2376,1797,1463,1331,1360,
"Sales, general and administrative",4579,3491,2654,2440,2166,1940,,991,815,663,602,480,
Total operating expenses,23076,16405,11329,11132,7434,5864,,3367,2612,2129,2064,1840,
Operating income,130387,81453,32972,4224,10041,,,,,,,,
Interest income,2300,1786,866,267,29,57,,136,69,54,39,28,
Interest expense,(259),(247),(257),-262,-236,-184,,-58,-61,-58,-47,-46,
"Other income, net",9022,1034,237,,,,,,,,,,
"Total other income, net",11063,2573,846,,,,,,,,,,
Income before income tax,141450,84026,33818,4181,9941,4409,,3896,3196,1905,743,,
Income tax expense,21383,11146,4058,,,,,,,,129,124,
Net income,"$ 120,067","$ 72,880","$ 29,760",4368,9752,4332,2796,4141,3047,1666,614,631,
Net income per share:,,,, , , ,,,,,,,
Basic (in USD per share),$ 4.93,$ 2.97,$ 1.21,0.18,3.91,1.76,,6.81,5.09,3.08,,,[1]
Diluted (in USD per share),$ 4.90,$ 2.94,$ 1.19,0.17,3.85,1.73,,6.63,4.82,2.57,,,[2]
Weighted average shares used in per share computation:,,,, , , ,,,,,,,
Basic (in shares),24359,24555,24690,24870,2496,2467,,608,599,541,,,
Diluted (in shares),24514,24804,24940,25070,2535,2510,,625,632,649,,,
Acquisition termination cost,,,,1353,0,0,,,,,,,
"Other, net",,,,-48,107,4,,14,-22,-25,4,,
"Other income (expense), net",,,,-43,-100,-123,,92,,,,14,
Income tax expense (benefit),,,,-187,189,77,,-245,149,239,,,
Income from operations,,,,,,4532,,3804,3210,1934,747,759,
Statement of Comprehensive Income [Abstract],,,,,,,,,,,,,
Available-for-sale debt securities:,,,,,,,,,,,,,
Net unrealized gain (loss),,,,,,,8,,,,,,
Reclassification adjustments for net realized gain (loss) included in net income,,,,,,,0,,,,,,
Net change in unrealized gain (loss),,,,,,,8,,,,,,
Cash flow hedges:,,,,,,,,,,,,,
"Other comprehensive income (loss), net of tax",,,,,,,13,,,,,,
Total comprehensive income,,,,,,,2809,,,,,,
Total other income (expense),,,,,,,,,-14,-29,-4,,
Restructuring and other charges,,,,,,,,,,3,131,0,
Cash dividends declared and paid per common share,,,,,,,,,,0.485,0.395,0.34,
,,,,,,,,,,,,,
[1],,,,,,,,,,,,,Calculated as net income divided by basic weighted average shares.
[2],,,,,,,,,,,,,Calculated as net income divided by diluted weighted average shares.
Basic net income per share,,,,,,,,,,,1.13,1.14,
Diluted net income per share,,,,,,,,,,,1.08,1.12,
Weighted average shares used in basic per share computation,,,,,,,,,,,543,552,
Weighted average shares used in diluted per share computation,,,,,,,,,,,569,563,
Income before income tax expense,,,,,,,,,,,,755,
